NAV_Date,UTI_Bond,AdityaBirla_Debt,HDFC_Debt,SBI_Debt,SBI_Arbitrage
31-01-2013,1.0159,1.0079,1.0074,1.0089,1.01
28-02-2013,1.0029,1.0051,1.0037,0.9854,1.008
31-03-2013,1.0084,1.0117,1.0079,1.0045,1.0059
30-04-2013,1.0201,1.0099,1.0125,1.0208,1.0084
31-05-2013,1.0228,1.0126,1.0086,1.002,1.0046
28-06-2013,0.9903,1.0012,0.9997,0.9901,1.0068
31-07-2013,0.9718,0.9862,0.9783,0.9683,1.0064
30-08-2013,0.9781,0.9986,0.9956,0.9847,1.0086
30-09-2013,0.9998,1.016,1.0174,1.0255,1.0066
31-10-2013,1.0172,1.0155,1.0137,1.0282,1.0082
29-11-2013,0.9908,1.0052,1.0059,0.9948,1.0072
31-12-2013,0.9992,1.0075,1.0061,1.0044,1.0071
31-01-2014,1.0064,1.0064,1.006,0.9935,1.0091
28-02-2014,0.999,1.0052,1.005,1.0155,1.0062
31-03-2014,1.0141,1.0119,1.0124,1.0293,1.0055
30-04-2014,1.016,1.009,1.0083,1.0081,1.0074
30-05-2014,1.0181,1.0119,1.0121,1.03,1.0086
30-06-2014,1.0098,1.0088,1.0067,1.0096,1.0068
31-07-2014,0.9996,1.0041,1.0051,1.0012,1.0088
28-08-2014,1.0055,1.0055,1.0054,1.0164,1.0059
30-09-2014,1.0069,1.0086,1.0084,1.0025,1.0065
31-10-2014,1.0237,1.0128,1.0136,1.0255,1.0061
28-11-2014,1.0166,1.0098,1.0086,1.0153,1.0052
31-12-2014,1.0184,1.0081,1.0073,0.9973,1.0066
30-01-2015,1.0221,1.0101,1.0124,1.0231,1.0076
27-02-2015,1.0006,1.0061,1.0032,0.9996,1.0072
31-03-2015,1.002,1.0078,1.0059,0.9964,1.0084
30-04-2015,0.9958,1.0042,1.0011,0.9966,1.0069
29-05-2015,1.0035,1.0062,1.0053,1.0072,1.006
30-06-2015,0.9929,1.0034,0.9999,1.0024,1.0055
31-07-2015,1.0102,1.0112,1.0089,1.0092,1.0035
31-08-2015,1.0076,1.0069,1.0057,0.9935,1.0047
30-09-2015,1.019,1.0116,1.0108,1.0114,1.0028
30-10-2015,1.0032,1.0074,1.0053,1.0048,1.0043
30-11-2015,0.9923,1.0028,1.001,1.0003,1.0029
31-12-2015,0.9999,1.0032,1.0028,0.9987,1.0052
29-01-2016,1.0014,1.004,1.0036,1.0085,1.0046
29-02-2016,0.9985,1.0021,1.0016,1.0059,1.0029
31-03-2016,1.0116,1.0167,1.0161,1.0138,1.006
29-04-2016,1.0059,1.0069,1.0063,1.0065,1.0035
31-05-2016,1.0031,1.0054,1.0048,1.0072,1.0042
30-06-2016,1.0099,1.0093,1.0087,1.0136,1.0054
29-07-2016,1.0281,1.0124,1.0175,1.0056,1.0039
31-08-2016,1.0107,1.0103,1.0089,1.0113,1.0066
30-09-2016,1.0144,1.0084,1.0121,1.0102,1.0046
28-10-2016,0.9999,1.0053,1.0055,1.0054,1.0057
30-11-2016,1.0533,1.0179,1.0205,1.0247,1.0046
30-12-2016,0.9795,0.9943,0.9926,0.9998,1.0045
31-01-2017,1.0043,1.0057,1.0048,1.0095,1.0031
28-02-2017,0.9855,0.9926,0.9955,1.0007,1.0047
31-03-2017,1.0162,1.0095,1.009,1.0107,1.0054
28-04-2017,1.0007,1.006,1.0022,1.0043,1.0026
31-05-2017,1.0116,1.0117,1.0081,1.0096,1.0052
30-06-2017,1.0138,1.0109,1.0068,1.0116,1.0046
31-07-2017,1.0123,1.0097,1.0087,1.0084,1.0044
31-08-2017,1.0026,1.0053,1.0041,1.0057,1.0041
29-09-2017,0.9964,1.001,1.0011,1.001,1.0043
31-10-2017,0.9994,1.0042,1.0064,1.0031,1.0029
30-11-2017,0.9969,1.002,1.0011,1.0016,1.0052
29-12-2017,0.9898,0.9994,0.9983,0.999,1.0025
31-01-2018,0.9972,1.0033,1.0023,1.0022,1.0065
28-02-2018,0.9993,1.0029,1.0018,1.0027,1.0047
28-03-2018,1.0258,1.013,1.0132,1.0127,1.0043
30-04-2018,0.991,0.997,0.9951,0.9951,1.0039
31-05-2018,0.9981,1.0009,1.0004,0.9994,1.0039
29-06-2018,1.0005,1.0067,1.0054,1.0047,1.004
31-07-2018,1.0068,1.0084,1.007,1.0108,1.003
31-08-2018,1.0011,1.0026,1.0033,1.0009,1.0028
28-09-2018,0.9996,0.9926,0.9991,0.9991,1.006
31-10-2018,1.0026,1.0044,1.0038,1.0056,1.0081
30-11-2018,1.0055,1.0083,1.0109,1.0107,1.0052
31-12-2018,1.0103,1.0087,1.0078,1.0102,1.0032
31-01-2019,0.9791,0.9932,1.0063,1.0057,1.0052
28-02-2019,1.0054,0.9993,1.0041,1.0068,1.0025
29-03-2019,1.0139,1.0127,1.0142,1.0157,1.0046
30-04-2019,0.9683,0.9975,0.998,0.9962,1.0072
31-05-2019,1.0173,1.0039,1.0151,1.0172,1.0088
28-06-2019,0.946,1.0031,1.0028,1.0037,1.0038
31-07-2019,1.0258,1.0144,1.0143,1.0177,1.0067
30-08-2019,0.9975,1.0023,1.0046,1.0073,1.0062
30-09-2019,0.9847,1.0085,1,1.0018,1.0018
31-10-2019,0.9947,0.9758,1.0097,1.0097,1.006
29-11-2019,1.0055,0.941,1.0093,1.0096,1.0034
31-12-2019,1.0012,1.0027,1.0012,1.0057,1.0023
31-01-2020,0.9544,1.0031,1.0082,1.0077,1.005
28-02-2020,0.9738,1.005,1.0127,1.0124,1.0063
31-03-2020,1.0033,0.996,0.9999,1.0028,1.0041
30-04-2020,1.018,0.9443,0.9868,1.0001,1.0034
29-05-2020,1.0204,1.0184,1.0109,1.0191,1.0058
30-06-2020,1.0146,1.0165,1.017,1.0153,1.0013
31-07-2020,1.0091,1.013,1.0129,1.0096,1.0009
31-08-2020,0.9874,0.999,0.9991,0.9978,1.0022
30-09-2020,0.9963,1.0178,1.0047,1.0043,1.0041
30-10-2020,1.0114,0.9815,1.0167,1.018,1.0036
27-11-2020,1.0036,1.0325,1.0092,1.0076,1.0006
31-12-2020,1.0032,1.0056,1.0045,1.0054,1.0031
29-01-2021,0.9986,1.0063,1.001,0.9991,1.0015
26-02-2021,0.9951,1.0125,0.997,0.9962,1.0031
31-03-2021,1.0044,1.0079,1.008,1.0057,1.0045
30-04-2021,1.0045,1.0058,1.0055,1.0057,1.0046
31-05-2021,1.0021,1.0077,1.0079,1.0051,1.0043
30-06-2021,1.0008,1.0011,1.0022,1.0029,1.0046
30-07-2021,1.0023,1.0065,1.0061,1.0055,1.0034
31-08-2021,1.0053,1.0059,1.0076,1.0062,1.0038
30-09-2021,1.075,1.0052,1.0048,1.0039,1.0014
29-10-2021,1.0042,1.0012,1,1.0009,1.0062
30-11-2021,1.0025,1.0049,1.0054,1.005,1.0045
31-12-2021,0.9984,1.0015,1.0012,1.0009,1.0021
31-01-2022,0.9993,1.0018,1.0006,1.0015,1.0036
28-02-2022,1.0019,1.0442,1.007,1.0061,1.005
31-03-2022,1.0027,1.0043,1.004,1.0042,1.0008
29-04-2022,0.9942,0.9998,0.9947,0.9972,1.004
31-05-2022,1.0715,0.9957,0.9907,0.992,1.0028
30-06-2022,1.0011,1.0026,1.0013,1.0046,1.0037
29-07-2022,1.0074,1.1619,1.0092,1.007,1.0009
30-08-2022,1.0099,1.0062,1.0067,1.0066,1.0044
30-09-2022,0.9966,1.0007,0.998,0.9986,1.0045
31-10-2022,1.0052,1.0052,1.0044,1.0046,1.0023
30-11-2022,1.01,1.009,1.0084,1.0094,1.0046
30-12-2022,0.9997,1.003,1.0029,1.0024,1.0075
